# Saving: 0.02 s

time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD,Q_applied_-1
0.98,3.092374,-7.438454,0.31921294,-0.998789,0.0491987,0.06322438,0.09121518,0.5074215,-0.12907152,0.2474051,0.64820135,0.04865581,-1.0,0.1975,0.016376833,7.3497553,0.911192,4.5041366,0.09327018,0.05591964,0.25176612
1.0,2.944118,-7.3483715,17.257658,-0.9805652,0.19619367,0.065089785,0.09233357,-2.5627472,-0.20267588,0.03848909,0.10084141,0.04888181,-1.0,0.1975,0.01650321,6.9184012,1.9095677,19.047565,0.06983436,-2.4508388,0.2474051
1.02,2.8004527,-6.9674206,25.71718,-0.9423739,0.33456156,0.06648647,0.04331684,-3.5959914,-0.26638046,-0.09077132,-0.23782085,0.04892221,-1.0,0.1975,0.015796082,6.174837,2.6725855,26.175762,0.0130366655,-3.2093,0.03848909
1.04,2.6657832,-6.443906,58.82661,-0.8889222,0.45805818,0.0667472,-0.020869099,-12.266204,-0.28769794,-1.0544285,-2.7626023,0.049055543,-1.0,0.1975,0.01621275,5.1114635,3.0312002,53.133205,-0.12070101,-10.350413,-0.09077132
1.06,2.54686,-5.3812428,15.899838,-0.8282983,0.56028736,0.064333186,-0.22787715,1.6754313,-0.29784334,-0.019386113,-0.050791614,0.049282234,-1.0,0.1975,0.016601667,4.166791,3.147786,18.372301,-0.21442887,1.3859494,-1.0544285
1.08,2.4423692,-5.013795,28.92409,-0.76534224,0.6436236,0.060044587,-0.20015803,-1.6068379,-0.30828866,-0.30753863,-0.80575114,0.04959826,-1.0,0.1975,0.017092375,3.4863236,3.2267184,29.173975,-0.21309072,-1.3263849,-0.019386113
1.1,2.3473258,-4.430316,35.45999,-0.7008079,0.71335,0.055782776,-0.2266857,-3.2467873,-0.3064529,-0.5507431,-1.4429469,0.049999602,-1.0,0.1975,0.016303541,2.760264,3.0512273,34.670567,-0.2528476,-2.6911552,-0.30753863
1.12,2.2650127,-3.7369053,37.955467,-0.63978344,0.7685552,0.05072583,-0.28050876,-3.7528996,-0.29432032,-0.735129,-1.9260379,0.05048224,-1.0,0.1975,0.0167355,2.0855923,2.6861336,36.873936,-0.3108143,-3.1237736,-0.5507431
1.14,2.196985,-2.9994273,11.041293,-0.5860608,0.81026703,0.04450955,-0.34298417,8.676267,-0.2668311,0.5155656,1.3507818,0.051042143,-1.0,0.1975,0.016872125,1.6194985,2.3805046,14.746323,-0.271261,7.5224257,-0.735129
1.16,2.1393938,-2.7045012,26.511112,-0.5384508,0.84265697,0.039084334,-0.1925358,2.4599369,-0.23771985,0.081140056,0.21258694,0.051675294,-1.0,0.1975,0.017166626,1.272915,2.1044052,27.639618,-0.17183495,2.1982787,0.5155656
